GENOME	COMMON	SCIENTIFIC
hg38	Human	Homo sapiens
panTro4	Chimp	Pan troglodytes
gorGor3	Gorilla	Gorilla gorilla gorilla
ponAbe2	Orangutan	Pongo pygmaeus abelii
nomLeu3	Gibbon	Nomascus leucogenys
rheMac3	Rhesus	Macaca mulatta
macFas5	Crab eating macaque	Macaca fascicularis
papAnu2	Baboon	Papio anubis
chlSab2	Green monkey	Chlorocebus sabaeus
calJac3	Marmoset	Callithrix jacchus
saiBol1	Squirrel monkey	Saimiri boliviensis
otoGar3	Bushbaby	Otolemur garnettii
tupChi1	Chinese tree shrew	Tupaia chinensis
speTri2	Squirrel	Spermophilus tridecemlineatus
jacJac1	Lesser Egyptian jerboa	Jaculus jaculus
micOch1	Prairie vole	Microtus ochrogaster
criGri1	Chinese hamster	Cricetulus griseus
mesAur1	Golden hamster	Mesocricetus auratus
mm10	Mouse	Mus musculus
rn6	Rat	Rattus norvegicus
hetGla2	Naked mole rat	Heterocephalus glaber
cavPor3	Guinea pig	Cavia porcellus
chiLan1	Chinchilla	Chinchilla lanigera
octDeg1	Brush tailed rat	Octodon degus
oryCun2	Rabbit	Oryctolagus cuniculus
ochPri3	Pika	Ochotona princeps
susScr3	Pig	Sus scrofa
vicPac2	Alpaca	Vicugna pacos
camFer1	Wild bactrian camel	Camelus ferus
turTru2	Dolphin	Tursiops truncatus
orcOrc1	Killer whale	Orcinus orca
panHod1	Tibetan antelope	Pantholops hodgsonii
bosTau8	Cow	Bos taurus
oviAri3	Sheep	Ovis aries
capHir1	Domestic goat	Capra hircus
equCab2	Horse	Equus caballus
cerSim1	White rhinoceros	Ceratotherium simum
felCat8	Cat	Felis catus
canFam3	Dog	Canis lupus familiaris
musFur1	Ferret	Mustela putorius furo
ailMel1	Panda	Ailuropoda melanoleuca
odoRosDiv1	Pacific walrus	Odobenus rosmarus divergens
lepWed1	Weddell seal	Leptonychotes weddellii
pteAle1	Black flying fox	Pteropus alecto
pteVam1	Megabat	Pteropus vampyrus
eptFus1	Big brown bat	Eptesicus fuscus
myoDav1	David's myotis	Myotis davidii
myoLuc2	Microbat	Myotis lucifugus
eriEur2	Hedgehog	Erinaceus europaeus
sorAra2	Shrew	Sorex araneus
conCri1	Star-nosed mole	Condylura cristata
loxAfr3	Elephant	Loxodonta africana
eleEdw1	Cape elephant shrew	Elephantulus edwardii
triMan1	Manatee	Trichechus manatus latirostris
chrAsi1	Cape golden mole	Chrysochloris asiatica
echTel2	Tenrec	Echinops telfairi
oryAfe1	Aardvark	Orycteropus afer afer
dasNov3	Armadillo	Dasypus novemcinctus
monDom5	Opossum	Monodelphis domestica
sarHar1	Tasmanian devil	Sarcophilus harrisii
macEug2	Wallaby	Macropus eugenii
ornAna1	Platypus	Ornithorhynchus anatinus
colLiv1	Rock pigeon	Columba livia
falChe1	Saker falcon	Falco cherrug
falPer1	Peregrine falcon	Falco peregrinus
ficAlb2	Collared flycatcher	Ficedula albicollis
zonAlb1	White throated sparrow	Zonotrichia albicollis
geoFor1	Medium ground finch	Geospiza fortis
taeGut2	Zebra finch	Taeniopygia guttata
pseHum1	Tibetan ground jay	Pseudopodoces humilis
melUnd1	Budgerigar	Melopsittacus undulatus
amaVit1	Puerto Rican parrot	Amazona vittata
araMac1	Scarlet macaw	Ara macao
anaPla1	Mallard duck	Anas platyrhynchos
galGal4	Chicken	Gallus gallus
melGal1	Turkey	Meleagris gallopavo
allMis1	American alligator	Alligator mississippiensis
cheMyd1	Green seaturtle	Chelonia mydas
chrPic2	Painted turtle	Chrysemys picta bellii
pelSin1	Chinese softshell turtle	Pelodiscus sinensis
apaSpi1	Spiny softshell turtle	Apalone spinifera
anoCar2	Lizard	Anolis carolinensis
xenTro7	Frog X. tropicalis	Xenopus tropicalis
latCha1	Coelacanth	Latimeria chalumnae
tetNig2	Tetraodon	Tetraodon nigroviridis
fr3	Fugu	Takifugu rubripes
takFla1	Yellowbelly pufferfish	Takifugu flavidus
oreNil2	Nile tilapia	Oreochromis niloticus
neoBri1	Princess of Burundi	Neolamprologus brichardi
hapBur1	Burton's mouthbreeder	Haplochromis burtoni
mayZeb1	Zebra mbuna	Maylandia zebra
punNye1	Pundamilia nyererei	Pundamilia nyererei
oryLat2	Medaka	Oryzias latipes
xipMac1	Southern platyfish	Xiphophorus maculatus
gasAcu1	Stickleback	Gasterosteus aculeatus
gadMor1	Atlantic cod	Gadus morhua
danRer10	Zebrafish	Danio rerio
astMex1	Mexican tetra	Astyanax mexicanus
lepOcu1	Spotted gar	Lepisosteus oculatus
petMar2	Lamprey	Petromyzon marinus
