"iORF_ID","MD5","length","analysis","signature_accession","signature_description","start","stop","score","status","date","interpro_accession","interpro_description"
"ENST00000316981_19_148","88678f28b0d6a257fde7c24ecd756923",43,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,43,"-","T","03-11-2022","-","-"
"HBMT00000693780_ncRNA_3","4354b0ff871471f1eb82913f91e8337c",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,39,"-","T","03-11-2022","-","-"
"ENST00000372517_uORF_2444","a6bc6408299ecd0784a5acb008a5e1c7",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",25,39,"-","T","03-11-2022","-","-"
"ENST00000372517_uORF_2444","a6bc6408299ecd0784a5acb008a5e1c7",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,39,"-","T","03-11-2022","-","-"
"ENST00000498092_126_195","9d1068a10d302a90c1d0b2e864c310cc",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENCT00000370866_290_536","5cb0730eff4e76d94a5dfadd06174560",81,"Pfam","PF00129","Class I Histocompatibility antigen, domains alpha 1 and 2",1,80,"2.1E-37","T","03-11-2022","IPR011161","MHC class I-like antigen recognition-like"
"ENCT00000370866_290_536","5cb0730eff4e76d94a5dfadd06174560",81,"Gene3D","G3DSA:3.30.500.10","-",1,81,"4.8E-35","T","03-11-2022","IPR037055","MHC class I-like antigen recognition-like superfamily"
"ENCT00000370866_290_536","5cb0730eff4e76d94a5dfadd06174560",81,"SUPERFAMILY","SSF54452","MHC antigen-recognition domain",1,80,"7.18E-31","T","03-11-2022","IPR011162","MHC classes I/II-like antigen recognition protein"
"MICT00000362717_84_327","e94a6af87a0ed400aa9d678278b3923e",80,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,17,"-","T","03-11-2022","-","-"
"MICT00000362717_84_327","e94a6af87a0ed400aa9d678278b3923e",80,"MobiDBLite","mobidb-lite","consensus disorder prediction",61,80,"-","T","03-11-2022","-","-"
"MICT00000362717_84_327","e94a6af87a0ed400aa9d678278b3923e",80,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"MICT00000025181_2189_2270","91c63c4df518c90a174248cba3dc724a",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"HBMT00001075797_976_1054","5718343257aafafb18ac1a9cd6d8eb83",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENST00000298992_228_342","837600187eb781a805d3400778cd0e14",37,"MobiDBLite","mobidb-lite","consensus disorder prediction",12,37,"-","T","03-11-2022","-","-"
"ENST00000447767_133_211","e630d2e1923fab21c49e5ff873dbea78",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENST00000382936_uORF_6","9551342a6830a7e8018f07b8f289a851",53,"MobiDBLite","mobidb-lite","consensus disorder prediction",20,53,"-","T","03-11-2022","-","-"
"ENCT00000185032_108_204","1e8c17214940676eac9d53c9a2a02b4c",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,31,"-","T","03-11-2022","-","-"
"ENCT00000064801_ncRNA_11","bfed835a9248ac141504f4e400537058",103,"MobiDBLite","mobidb-lite","consensus disorder prediction",61,103,"-","T","03-11-2022","-","-"
"ENCT00000064801_ncRNA_11","bfed835a9248ac141504f4e400537058",103,"MobiDBLite","mobidb-lite","consensus disorder prediction",23,37,"-","T","03-11-2022","-","-"
"ENCT00000064801_ncRNA_11","bfed835a9248ac141504f4e400537058",103,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,43,"-","T","03-11-2022","-","-"
"FTMT24900015144_94_178","365134606d093af9d97b72a7db2ca59f",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"ENST00000523301_171_291","93f162a592d2e3227d2b7f4b9bf15bc6",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,39,"-","T","03-11-2022","-","-"
"MICT00000138974_460_697","e02d52194968fa4b6c907c52dbd18846",79,"MobiDBLite","mobidb-lite","consensus disorder prediction",55,79,"-","T","03-11-2022","-","-"
"MICT00000368989_ncRNA_3","cbc73bd2df7807fff753aff4bf83224f",39,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,39,"-","T","03-11-2022","-","-"
"HBMT00001064404_468_552","786c67e99ff3a7bf3a05bfa1b1da59b6",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"ENST00000407724_131_581","d5fb2de99970f34e2860ae313b8da91a",149,"MobiDBLite","mobidb-lite","consensus disorder prediction",85,106,"-","T","03-11-2022","-","-"
"ENST00000407724_131_581","d5fb2de99970f34e2860ae313b8da91a",149,"Coils","Coil","Coil",145,149,"-","T","03-11-2022","-","-"
"ENST00000402863_68_170","361ad2d2c3f94fae9672129529f7edd6",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,33,"-","T","03-11-2022","-","-"
"ENST00000402863_68_170","361ad2d2c3f94fae9672129529f7edd6",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",18,33,"-","T","03-11-2022","-","-"
"HBMT00000734267_622_691","2d3a9984a6f01eb35614a8582a64e200",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENCT00000464490_ncRNA_5","87338de26c9f42876442c167a1b56d11",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000392811_uORF_21","e5283cd8e8a0042735c027ccb073c9f9",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000482677_ncRNA_0","394ad25047dfc4a5faa3b1f44078cf99",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000545891_uORF_8","32c3f03382321c7049daa7eb6f9d96ea",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENCT00000291658_190_256","3d9c2bc6fb15c3ce653bbf9f04419394",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENCT00000291658_190_256","3d9c2bc6fb15c3ce653bbf9f04419394",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",7,21,"-","T","03-11-2022","-","-"
"MICT00000208076_215_314","7323e015081f624c3f06ae8d5c7a5fe5",32,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,32,"-","T","03-11-2022","-","-"
"MICT00000208076_215_314","7323e015081f624c3f06ae8d5c7a5fe5",32,"MobiDBLite","mobidb-lite","consensus disorder prediction",17,32,"-","T","03-11-2022","-","-"
