# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250320023012
# ID	Prediction	OTHER	SP	mTP	CS Position
Lena_screen_1_42	mTP	0.116718	0.293661	0.589622	CS pos: 31-32. ARG-SY. Pr: 0.1874
Lena_screen_1_49	OTHER	0.476611	0.401571	0.121818	
ORF102	OTHER	0.390214	0.242615	0.367172	
ORF104	SP	0.027753	0.967952	0.004295	CS pos: 26-27. SWS-GL. Pr: 0.7557
ORF115	OTHER	0.748547	0.184886	0.066566	
ORF119	OTHER	0.622201	0.320624	0.057176	
ORF141	OTHER	0.984056	0.015911	0.000033	
ORF146	OTHER	0.827906	0.164812	0.007282	
ORF148	OTHER	0.616024	0.117573	0.266404	
ORF180	OTHER	0.514428	0.001799	0.483773	
ORF187	OTHER	0.904541	0.078749	0.016710	
ORF189	OTHER	0.893712	0.102882	0.003406	
ORF200	OTHER	0.982439	0.001843	0.015718	
ORF55	SP	0.251528	0.679577	0.068894	CS pos: 28-29. VLG-AR. Pr: 0.6348
ORF88	OTHER	0.454715	0.135548	0.409737	
ORF90	SP	0.406150	0.473259	0.120591	CS pos: 19-20. AMA-TR. Pr: 0.6826
